resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
241,1125,830,9,1,4,1,1,1,8,19,32:04.660,1924660,3,1:40.331,1
242,1125,1,131,44,2,2,2,2,7,19,+13.043,1937703,3,1:40.420,1
243,1125,815,9,11,6,3,3,3,6,19,+15.258,1939918,4,1:41.065,1
244,1125,844,6,16,7,4,4,4,5,19,+17.486,1942146,4,1:41.003,1
245,1125,832,6,55,5,5,5,5,4,19,+20.696,1945356,4,1:40.962,1
246,1125,846,1,4,1,6,6,6,3,19,+22.088,1946748,4,1:40.951,1
247,1125,857,1,81,8,7,7,7,2,19,+24.713,1949373,3,1:41.107,1
248,1125,847,131,63,11,8,8,8,1,19,+25.696,1950356,5,1:41.505,1
249,1125,855,15,24,10,9,9,9,0,19,+31.951,1956611,4,1:41.502,1
250,1125,825,210,20,12,10,10,10,0,19,+37.398,1962058,5,1:42.092,1
251,1125,817,215,3,14,11,11,11,0,19,+37.840,1962500,6,1:42.234,1
252,1125,822,15,77,9,12,12,12,0,19,+38.295,1962955,6,1:42.140,1
253,1125,839,214,31,17,13,13,13,0,19,+39.841,1964501,4,1:42.191,1
254,1125,840,117,18,15,14,14,14,0,19,+40.299,1964959,5,1:42.258,1
255,1125,842,214,10,16,15,15,15,0,19,+40.838,1965498,4,1:42.017,1
256,1125,852,215,22,19,16,16,16,0,19,+41.870,1966530,4,1:42.056,1
257,1125,848,3,23,18,17,17,17,0,19,+42.998,1967658,8,1:42.389,1
258,1125,858,3,2,20,18,18,18,0,19,+46.352,1971012,7,1:42.516,1
259,1125,807,210,27,13,19,19,19,0,19,+49.630,1974290,5,1:42.315,1
260,1125,4,117,14,3,20,20,20,0,17,\N,\N,3,1:40.537,31
261,1126,830,9,1,1,1,1,1,8,19,31:31.383,1891383,4,1:30.415,1
262,1126,844,6,16,2,2,2,2,7,19,+3.371,1894754,4,1:30.807,1
263,1126,815,9,11,3,3,3,3,6,19,+5.095,1896478,19,1:30.921,1
264,1126,817,215,3,4,4,4,4,5,19,+14.971,1906354,4,1:31.505,1
265,1126,832,6,55,5,5,5,5,4,19,+15.222,1906605,17,1:31.568,1
266,1126,857,1,81,6,6,6,6,3,19,+15.750,1907133,19,1:31.393,1
267,1126,807,210,27,10,7,7,7,2,19,+22.054,1913437,8,1:31.963,1
268,1126,852,215,22,15,8,8,8,1,19,+29.816,1921199,16,1:31.844,1
269,1126,842,214,10,16,9,9,9,0,19,+31.880,1923263,6,1:32.148,1
270,1126,858,3,2,18,10,10,10,0,19,+34.355,1925738,6,1:32.192,1
271,1126,855,15,24,17,11,11,11,0,19,+35.078,1926461,7,1:32.131,1
272,1126,847,131,63,11,12,12,12,0,19,+35.755,1927138,8,1:32.173,1
273,1126,848,3,23,20,13,13,13,0,19,+36.086,1927469,6,1:32.223,1
274,1126,822,15,77,19,14,14,14,0,19,+36.892,1928275,7,1:32.462,1
275,1126,839,214,31,13,15,15,15,0,19,+37.740,1929123,19,1:32.218,1
